NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,436.9849311331926
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,434.39642834187066
b38a03232f43b11c9d0788abaf060f7366053b6d,593.7425402478116
715494628a50142ce8cb17191cfe6d0f3cae0934,549.635429295115
e656d6bad65c93fb2880f1eba5037008c8e75774,465.72422718091246
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,540.4410228205037
11539e86171bf07d3a36f09377d7f54ebcc8406a,438.5420159672814
043c544a2104aa8a9849f1a703a08d37a2f16839,469.3268352382148
76ba050e64ad100b856f0eaabd8f539d5c7dd185,464.2175468637798
940aede382ccb332fab15d413217695ec44ca765,452.66706190515004
9ad714b116da76d878dd399d187fccc2dd13dd63,571.1599379779047
dd34464a4d780b12a089347ad580418ac57a3055,525.3481930675846
f837a4cb05a5fd59d20138182f5e8c721eadd584,471.10045170501746
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,390.5050100860829
3d203727f27abd83b71732d88d8cb1cc099f363b,432.7853119592765
cbc301183dec912f3513ca766bf03dd565f3a38f,498.2465307629169
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,632.7164733106654
11282da1ee78c8db45a041db4c744e33df489df0,431.0729183274541
03c67f683a415c2ea09b582248bd4cb08528c19d,578.7002343582119
046e844fb06a07ba30b41521f0065a8d9c6e5024,387.98457254484174
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,455.1287421721278
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,403.73812632841145
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,562.8324535004756
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,506.678626744157
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,539.8861584214526
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,492.19049363061845
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,459.00255487739446
59bfa081e020013410d9f60f91813964ba749bb2,429.6013623280182
f5e069ee3bc95998464e8ff5da048b7f999921ed,447.1604410284756
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,600.5393674672615
664f44258212a1f7e4086f2b4845d586c543fa3f,493.709620183786
265cd7befa74a9f2a198fc57baec9858075f8419,433.25202416673477
6f9ac44919bbd204e0ef15185388fd2d4bc61253,516.94377630004
78de1ee60b55766cc3eba4089e36c57139b66ebd,462.4106799251645
1e61a474acdc043eb39a89c17fab34bd2ea1a940,442.8620786869178
940af68ded6af2875708611051aa7ff3f134d80b,513.49757305827
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,496.01849427971
c76ddf6e9f80984e901b12f9462a3cf029bea290,477.8349086923857
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,459.5051159130416
92823d467a2ced9529801e0e8a94802dd88f0c17,444.89852329723493
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,574.1230462836807
413cbb38b2e2522f8167ffb9daeac1347b281393,493.739527457873
68985fad004092956a4b4ce94dd53dc76d07eaf7,486.2511591875567
bdca9aeb19521675af15f2c28d86f6bebc45a834,477.6340731406883
b65b19d42b7a4b644fe9f99366dcb37b120862d9,414.5599318527144
eda898aa8ec465cbac70de72ead0c6d688e5f95a,445.4661215065292
8d5c4481d736f6ce27976e400f4245bf10757608,414.5432689098709
c4cea54435c0fd0e171eed4c215479bb3ca86113,450.69790153927386
7d5cd89c6112b9a202a025a24355135bc60848c6,476.76232278903296
b70ab62384aa80545928a311f5b5d3db2f4d87ee,550.7490278098077
c96431dd924f366d2229a7f1455388b8cd85be49,575.86429061287
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,428.46758445382
e724482370ae6126008ade80b564ad8d8a0a7cbd,475.9702962668789
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,594.0295705509615
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,493.34222484475515
7f898f8939ae054359f83ee154bb91bc7dd2c959,559.28306800213
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,476.25728227405534
82e3b12c6366008fabc238f299f117074e78de5d,404.7075711786838
0d838be0e718ceb786cdb10fcc12559e00440240,507.30569476961955
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,478.03460882730457
c83fe640ba466ba904ac1055e53a875289888797,437.72714347446276
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,478.0391458653482
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,381.1255988067485
328639a0c753715c30a58bae70c82f2101153eb3,426.23597552298475
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,533.1913550489826
f56746cc2900258507d2b32c126f8db090db856f,441.9401844711174
1a4963b5fea8bb25c67750cdafbe84b01efad177,422.72256335141435
b520c940e62f4ed684417e7eacf00d85752060da,485.8394764298546
2e170cf2651ed448991af6fc5df15167733b2d8f,507.77790918398773
6efdd93a0ae289be6bb5a400bfc1deb077d75886,420.82449718306896
72ac2acc787d8cba0934cca3810ac091d792c8db,517.8624342440305
92a25eee14554806f081869cc9dac868fd1860fb,424.60118727880405
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,418.7123738585131
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,446.73601630809037
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,539.0675066151057
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,437.5851513482894
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,474.0603157353541
1a46d99716282410d1170f0f35069b34e34415d4,460.48308471376873
0467e022da4ef897f666bc76f31e1bc8976f7e92,488.7140909706661
993aca0d5eac6741117947c82a3647102096255e,472.5412268395068
94c96ade6ade21deb080bba6aad537fc4f195d47,516.2553696607512
36bb672077a46a3e4755cef90437a616d28bdf23,423.9385096722738
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,402.56112810673983
328ca19128d276eb4fbc309c54ec7f346c803d2f,688.8549357190744
27cdb62f0a2a5467efeb30aafbf246ed2320c532,393.02586418492956
f9ef2695eb0986666093945894b8f2fee351bf22,498.8438879707908
8a021391cdaac100dab56c59284bd50137a74129,546.8176876797688
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,523.3660802905725
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,466.97081154076284
b9f786712775e0d1d735398d710b01f404c985a3,400.73870808380195
564958997e204bda06fbe90afc4722805c78a855,584.9778650891202
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,424.05854193076607
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,482.38823537762914
8296743fdd105ce9183561cf5b359b0a3781465e,434.2134637264207
6602c7f15a1fdd082265b64976448c6809df792d,444.3389402245133
31ae66f0fe024acae4490915c348e487f2367574,530.2008357024763
81901aa980653106e64863d957387d24e2c00af3,420.708234758903
28e10d1bd0b6effe0edd503446ebda948ad240ad,437.40887912747354
53a7ee52a87f80241e2ca13c923e06b72bf3a059,399.5149603756677
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,581.8405535023567
02681b5c893b94db204713cb4b20dde6fc3f2f95,539.3076904297551
6ce4c0e0784b3881b36b3d1c047ac6ad121681da,414.98261171633413
28c6829e69879bc1d34db1cd51b89562d3cc596b,520.6871474512061
ecb9f0d7a261c9f27865ea22f2e643701f721eb6,474.0528460514081
923538833160e8432636c88e8119378a43b3d766,469.47324637380916
aacb834258765a2959ee63c57d2be4923d11a696,465.6784270148476
c32e484025571dd94255a77f21de08ab8d2aaba8,482.22482578030076
d425deeec0a3c7006f14d732eff8933d5155067f,486.2234763789873
f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,477.3494454463426
716a178e9a6f7791b820da77879943ac9040a547,454.7798305158979
430212cd8767ef2bff8cda0f61729203fef7523e,421.9620515840817
e97d33221238e445688a0e984778d4ecac788be2,510.32284120483405
4bc5712bdb9067b1814e969e71d5cdad59bb38d4,507.9530560249209
0411742cbb54fe1b6927b25f0bb52b885828c828,435.0948582140912
780505a9d5fc3c6da53686c0cc8bd871f4db00bc,394.9314761359649
e4e7a38b58319ad0a5cde4848622b21783c907e9,491.3860667399099
9c5a0a82074c75cb072752d71da42b9c6c27b0a3,578.1377085242152
aec1b63c3f0c9554e533752d8fe138ca82101d4a,449.5565991855419
4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,491.53344209011414
4b48d500ba4410546ce01f7f6d44bcbafa73994f,426.4116349239064
edf33c347c866d26872f540bcc1f6ae415f3294c,479.5223216672384
54f4e6037b9d1eb4a2a134306d37176787f1c1d3,521.1628903930346
3a265ea6ebdc4eb2520db912adf5592f03b3d634,395.1543354458916
e418fbb77e6ff4103205f3b7f6a66d53183d809b,470.34678271296997
8ddbfe70cd41135cb6f125335a48d100789edbf7,390.33606573707
1d3e406d0223d4cb0328850d689ba9fcadf62776,435.5037224207975
ecaf075653faf2dcdf946c0ce50629f5083347c0,419.22819244169057
7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,506.7227767083202
